No,full_text,username
63,"F-PKS Dukung One Day One Fish untuk Program Makan Bergizi Gratis 🇮🇩

|| Riyono (Anggota Komisi IV DPR RI dari F-PKS)

#fraksipksdprri 
#PKSpembelaRakyat 
#PKS https://t.co/bYZJkGjz0B",FPKSDPRRI
64,"TVRINEWS, YOGYAKARTA - Pemerintah Kabupaten (PEMKAB) Kulonprogo mengalokasikan anggaran sebesar 29,5 miliar rupiah untuk program makan bergizi gratis pada tahun 2025 mendatang. Alokasi ini diambil dari pendapatan asli daerah, termasuk menotong sejumlah anggaran untuk berbagai https://t.co/B1hwDPZ9jc",tvriyogyakarta
65,"https://t.co/QdOUrOSHmb

IPOL.ID- Bank Mandiri terus konsisten menjalankan peran sebagai mitra strategis pemerintah lewat dukungan Program Makan Bergizi Gratis lewat penyaluran kredit ke sektor-sektor yang menjadi pendukung utama ekosistem pangan.

#mandiri
#livinbymandiri
#ipol https://t.co/miX3mapyIb",ipoldotid
66,"Bank Mandiri dukung ekonomi kerakyatan lewat program Makan Bergizi Gratis, dorong pertumbuhan ekonomi kerakyatan yang berkelanjutan - Lombok Insider",KasanBaret
67,"Badan Gizi Nasional (BGN) dan seluruh mitra Kerja termasuk PEKNAS - Penguatan Ekonomi Kerakyatan Nasional (DPP-PEKNAS), Fokus terhadap program MBG (MAKAN BERGIZI GRATIS), agar berjalan Baik dan Lancar.
🌾
🌾
#PEKNAS
#BadanGiziNasional
#EkonomiKerakyatan https://t.co/7S1dfeaKSi",Urusan_Rasa
68,"Bank Mandiri terus konsisten menjalankan peran sebagai mitra strategis pemerintah lewat dukungan Program Makan Bergizi Gratis lewat penyaluran kredit ke sektor-sektor yang menjadi pendukung utama ekosistem pangan.

Baca selengkapnya : https://t.co/0T2rRZc4bK https://t.co/kPqLw1xaOj",medan_insight
69,"#Bireuen #ProgramMakanBergiziGratis 

Polres Bireuen Gelar Program Makan Bergizi Gratis, Seorang Murid Bawa Pulang Untuk Adiknya

https://t.co/XJwj2QmhdE via @tribunnews",serambinews
70,"Menkop Apresiasi Dukungan Muslimat NU Dalam Program Makan Bergizi Gratis #BNetwork 
https://t.co/WqVHI6usWg",Beritasatu
71,"Menkop apresiasi dukungan Muslimat NU dalam program Makan Bergizi Gratis
https://t.co/ukxMqPlfsT",RadioElshinta
72,"Dukung Program Makan Bergizi Gratis, Induk KUD Siapkan Pengamanan Pasokan

https://t.co/UAIkVfo2Jp",SINDOnews
73,"Bank Mandiri Dukung Program Makan Bergizi Gratis, Dorong Pertumbuhan Ekonomi Kerakyatan yang Berkelanjutan https://t.co/tX3jtTIox7  ...",portal_papua
74,"Menteri Pendidikan Dasar dan Menengah (Mendikdasmen) Abdul Mu'ti menyebut program Makan Bergizi Gratis bisa mengajarkan anak-anak agar tidak hidup boros.

""Makan siang gratis ini sebagai bagian dari penanaman dan pembiasaan pendidikan karakter bagi anak-anak,"" kata Abdul Mu'ti di https://t.co/wY8WBbGITD",tvOneNews
75,"Pemerintah Kota (Pemkot) Tangerang Selatan sudah mulai melakukan uji coba program Makan Bergizi Gratis (MBG) yang merupakan salah satu program unggulan Presiden Prabowo Subianto.

Sekolah pertama yang dilakukan uji coba makan bergizi gratis yaitu TK Negeri Pembina 1 di Ciputat. https://t.co/mBVszC0k06",abouttng
76,"Kampung Sayur di Yogya Bakal Supply Bahan untuk Program Makan Bergizi Gratis 
#KampungSayur #MakanGratis #MakanBergiziGratis
https://t.co/WUyGTpbl8r",republikajogja
77,"Program Makan Bergizi Gratis akan mulai dilaksanakan. Pakar ini menyebut pemerintah harus memperhatikan kesesuaian menu dengan keperluan tiap siswa.

Via @detik_edu  https://t.co/HYxys4av4B",detikcom
78,"Istana meninjau kesiapan program makan bergizi gratis di Tanah Sareal, Bogor. Program makan bergizi gratis ini akan diberikan ke 3.018 siswa di 15 sekolah. https://t.co/wtNOsVHsNT",detikcom
79,"BPOM RI akan terlibat dalam program makan bergizi gratis yang diprioritaskan Presiden Prabowo, mulai dari rumah produksi hingga distribusi. Begini perannya.
https://t.co/9iQqwBxYss",detikcom
80,"BPOM RI akan terlibat dalam program makan bergizi gratis yang diprioritaskan Presiden Prabowo, mulai dari rumah produksi hingga distribusi. Begini perannya.  https://t.co/qzHF8YeopK",detikHealth
81,"Presidential Communication Office (PCO) meninjau uji coba program Makan Bergizi Gratis (MBG) di 15 sekolah, di Bogor, Senin (9/12/2024). Uji coba dilaksanakan di Satuan Pelayanan Pemenuhan Gizi (SPPG) Tanah Sareal. #TirtoDaily https://t.co/CySCWuE3Sp",TirtoID
82,"Wamendes PDT, Riza Patria, menginstruksikan jajarannya untuk memastikan pasokan bahan baku terpenuhi untuk program makan bergizi gratis di desa. https://t.co/HujK1ibE56",detikcom
83,"Simulasi program makan bergizi gratis tak berjalan mulus. Kualitas menu dipertanyakan banyak pihak.

https://t.co/wTsaaEDv12",detikcom
84,2 Teknologi Program Makan Bergizi Gratis: Monitoring Real-Time dan AI #uzoneID #lifestyle #viral https://t.co/CzzXa2aJjY,uzoneindonesia
85,"Menkop Apresiasi Dukungan Muslimat NU Dalam Program Makan Bergizi Gratis

https://t.co/jO9sebKNMu",pantaucom_
86,Menteri Kelautan dan Perikanan Sakti Wahyu Trenggono mengungkapkan susu ikan menjadi salah satu alternatif dalam program Makan Bergizi Gratis (MBG)https://t.co/FmxNOPMJac,ANTARABengkulu
87,"Dana Judol di Bank dan e-Wallet Capai Rp 86 Triliun, Legislator Desak Sita untuk Bantu Program Makan Bergizi Gratis https://t.co/jB5gObSc3B #AboeBakarAlHabsy #AnggotaKomisiIIIFraksiPKS #bank #DanaJudol #ewallet #PPATK",indoposco
88,"Ketua DPD RI Sultan B Najamudin meminta pemerintah untuk memastikan Suplay bahan pangan  terpenuhi secara simultan dan murah sebelum memulai program Makan Bergizi Gratis (MBG).
#dpdri #SBN #pangan #MBG #daridaerahuntukindonesia https://t.co/eSlwZixqp0",DPDRI
89,"Bank Mandiri Genjot KUR untuk Sektor Pangan, Dukung Ekonomi Kerakyatan dan Program Makan Bergizi Gratis

Link Artikel : https://t.co/E1zrADw917",VIVAcoid
90,"RaKor dan BimTek PEKNAS pada tanggal 7-9 Desember 2024 di Jakarta terkait Program MAKAN BERGIZI GRATIS (MBG).
Acara dihadiri oleh para Pengurus DPP,  DPW dan DPC PEKNAS seluruh Indonesia serta Badan Gizi Nasional (BGN), 
Para Vendor dan Investor MBG, 
*
*
#PEKNAS
#BGN https://t.co/2G0vZezQsk",Urusan_Rasa
91,"Program Makan Siang Bergizi Gratis masih menjadi highlight dari pembicaraan warga Indonesia.

Yuk, simak pembahasan selengkapnya di https://t.co/FDxyj08qt7
#HendriSatrio #SATGASKELITIK #Hensa #MakanSiangGratis #PrabowoSubianto #MakanSiang10ribu https://t.co/j2N8AHTzpW",tvOneNews
92,"Prabowo Sebut Program Makan Bergizi Gratis Bisa Putar Roda Ekonomi Desa
https://t.co/CX2wYJ6a4l",officialinews_
93,"1. Edan, program makan bergizi gratis (MBG) ini lama2 tak hanya anggaran per-porsinya makin mengecil, tapi alokasi anggarannya yg Rp71 Triliun pun akan hilang lenyap tdk jelas sebagian besar.

Hati2 lho pak Pres @prabowo. Ini anak buah bapak yg tak pinter Math atau sedang mbujuk https://t.co/pnXSSxuAj6",ferrykoto
94,"Prabowo Janji Program Makan Bergizi Gratis akan Berdayakan Ekonomi Pedesaan 
https://t.co/39ZelXDoJQ",fajaronline
95,"Menteri Keuangan #SriMulyani mengatakan alokasi #BelanjaNegara pada tahun 2025 sebesar Rp2.701,4 triliun akan dialokasikan untuk mendukung program prioritas pembangunan yaitu swasembada pangan, pendidikan dan kesehatan, hingga program makan siang bergizi gratis. https://t.co/zIRe86oPZf",Metro_TV
96,"Presiden Prabowo Sebut Program Makan Bergizi Gratis Perkuat Ekonomi Desa

Presiden Prabowo Subianto menegaskan komitmen pemerintah untuk memperkuat ekonomi pedesaan melalui implementasi program Makan Bergizi Gratis (MBG).

Pernyataan ini disampaikan Prabowo dalam acara penyerahan https://t.co/SXhDC2HfQO",akuratco
97,"Banyak yang penasaran, ""Susu ikan bau amis, gak sih?"" 🤔 Dalam program makan gratis bergizi Prabowo Subianto, Susu Ikan jadi sorotan utama!

🎥 Yuk, simak obrolan seru di Big Cheese bersama Bapak Menteri Kelautan dan Perikanan Sakti Wahyu Trenggono.

#detikFinance https://t.co/UgPvRzNNyi",detikfinance
98,"Gibran meninjau program makan bergizi gratis di Muhammadiyah Boarding School, Bogor. Seperti apa momennya? https://t.co/hGlVT8oyJH",detikcom
99,"Pemerintah siap melaksanakan Program Makan Bergizi Gratis (MBG) mulai 2 Januari 2025. Dalam proses uji coba selama beberapa bulan terakhir, pemerintah semakin menemukan format ideal dalam proses pelaksanaan program, dari mulai penyediaan bahan baku, operasional unit pelayanan, https://t.co/pMSZsTrAf3",tvOneNews
100,"Presiden RI ke 8  @prabowo menyatakan bahwa setiap tahun, akan beredar uang dalam jumlah besar di setiap desa melalui program Makan Bergizi Gratis. 

Presiden  juga berjanji untuk mendistribusikan perputaran uang yang selama ini terkonsentrasi di Jakarta ke desa-desa, guna https://t.co/FiM1ZZYiJq",__LOVE_AG4EVER
101,Alokasi Belanja Pemerintah Pusat Rp2.701 Triliun untuk Program Makan Bergizi Gratis hingga Pendidikan https://t.co/GrMZHq4tMR,pajakcom
102,Presiden Prabowo Subianto menyampaikan bahwa program unggulan makan bergizi gratis dapat meningkatkan peredaran uang di desa-desa hingga mencapai Rp8 miliar per desa per tahun. Hal ini disampaikan dalam gelaran penyerahan Daftar Isian Pelaksanaan Anggaran (DIPA) dan Transfer ke https://t.co/nE7ncLTV3t,Metro_TV
103,"PT Timah terus berkomitmen mendukung kesehatan anak bangsa melalui program Makan Bergizi Gratis. 

Kali ini, program menyentuh 196 siswa SD dan TK di Kabupaten Bangka. Semangat menciptakan Generasi Emas 2045 dimulai dari piring mereka! 🍽️💪✨

https://t.co/nLba6VCJI5

#PTTimah https://t.co/TtwKLRKKF7",Official_TIMAH
