Column1;full_text;id_str;created_at;username;lang;location;quote_count;reply_count;retweet_count;favorite_count;tweet_url;image_url;mentions;mention_count;target
369;Kebijakan Makan Bergizi Gratis menghadirkan manfaat nyata bagi peningkatan kualitas hidup masyarakat #MBG #MakanBergiziGratis https://t.co/A04rtM5u8M;2,04933E+18;46141,4467;RosaJaanne;in;;0;1;0;1;https://x.com/RosaJaanne/status/2049333667420610864;https://pbs.twimg.com/media/HHCxywBbAAAL_M2.jpg;[];0;
370;Pemerintahan Prabowo-Gibran menunjukkan efektivitas program melalui Makan Bergizi Gratis yang dirasakan langsung oleh masyarakat #MBG #MakanBergiziGratis https://t.co/L5kBGMeMIQ;2,04933E+18;46141,44671;RosaJaanne;in;;0;1;0;1;https://x.com/RosaJaanne/status/2049333671140921649;https://pbs.twimg.com/media/HHCx00wbEAAbEQZ.jpg;[];0;
371;Program Makan Bergizi Gratis menjadi solusi nyata dalam meningkatkan kesejahteraan dan kualitas gizi masyarakat #MBG #MakanBergiziGratis https://t.co/MYmkSEHUqC;2,04933E+18;46141,44672;RosaJaanne;in;;0;1;0;1;https://x.com/RosaJaanne/status/2049333674752327741;https://pbs.twimg.com/media/HHCx4qKbEAEvdBH.jpg;[];0;
372;Ekonom global asal Malaysia, Shan Saeed, menilai program Makan Bergizi Gratis (MBG) bukan sekadar bantuan sosial, melainkan investasi besar bagi masa depan Indonesia. https://t.co/HBLBWlrcNO;2,04933E+18;46141,44672;Wage_Esuk;in;;0;0;0;0;https://x.com/Wage_Esuk/status/2049333674370625691;https://pbs.twimg.com/media/HHCyHKLasAA0AHL.jpg;[];0;
373;Efektivitas Makan Bergizi Gratis terlihat dari meningkatnya kepuasan masyarakat terhadap program pemerintah #MBG #MakanBergiziGratis https://t.co/SRjt0bjoCd;2,04933E+18;46141,44674;RosaJaanne;in;;0;0;0;1;https://x.com/RosaJaanne/status/2049333678342639880;https://pbs.twimg.com/media/HHCx52gaEAAKF2j.jpg;[];0;
374;Presiden Prabowo Subianto meninjau langsung hasil revitalisasi sekolah serta pelaksanaan program Makan Bergizi Gratis (MBG) di SMAN 1 Cilacap pada Rabu (29/4/2026). Prabowo melihat kondisi fasilitas sekolah pasca revitalisasi serta berinteraksi dengan siswa dan tenaga pendidik https://t.co/2KwJn9TN5q;2,04933E+18;46141,44882;Beritasatu;in;;0;0;4;7;https://x.com/Beritasatu/status/2049334434562998317;https://pbs.twimg.com/amplify_video_thumb/2049334382411018241/img/aXcgWt_5fdFeev8n.jpg;[];0;
375;Program Makan Bergizi Gratis memberikan dampak positif bagi kesejahteraan masyarakat secara luas #MBG #MakanBergiziGratis https://t.co/qSLB0T2TiH;2,04933E+18;46141,44995;JulieMarshaa;in;;0;1;0;0;https://x.com/JulieMarshaa/status/2049334844816240877;https://pbs.twimg.com/media/HHCyo_SbUAExFpB.jpg;[];0;
376;Makan Bergizi Gratis menjadi bukti nyata program pemerintah yang efektif dan dirasakan manfaatnya #MBG #MakanBergiziGratis https://t.co/AgLWAJXby2;2,04933E+18;46141,44998;JulieMarshaa;in;;0;1;0;0;https://x.com/JulieMarshaa/status/2049334852412195122;https://pbs.twimg.com/media/HHCzGWZagAAGmAa.jpg;[];0;
377;Program Makan Bergizi Gratis mendukung peningkatan kesejahteraan masyarakat melalui akses gizi yang lebih baik #MBG #MakanBergiziGratis https://t.co/z4Kn5J1xVE;2,04933E+18;46141,44999;JulieMarshaa;in;;0;1;0;0;https://x.com/JulieMarshaa/status/2049334856161833444;https://pbs.twimg.com/media/HHCzJMSaYAAApOP.jpg;[];0;
378;Efektivitas Program Makan Bergizi Gratis menunjukkan komitmen pemerintah dalam meningkatkan kepuasan publik #MBG #MakanBergiziGratis https://t.co/1hIHDHC076;2,04933E+18;46141,45;JulieMarshaa;in;;0;0;0;0;https://x.com/JulieMarshaa/status/2049334859802538480;https://pbs.twimg.com/media/HHCzKSaacAA2qqk.jpg;[];0;
379;"@BiLLRaY2019 Program ini investasi sumber daya manusia, bukan beban yang harus dipangkas sembarangan. Lebih baik cari efisiensi di tempat lain daripada potong hak anak-anak makan bergizi.
#LanjutkanMBG";2,04934E+18;46141,46281;virginiepw;in;;0;0;0;0;https://x.com/virginiepw/status/2049339502817374248;;['BiLLRaY2019'];1;BiLLRaY2019
380;"ASEAN mulai melirik, Indonesia justru melangkah lebih dulu 🇮🇩✨
Dari program makan bergizi, kita bukan cuma bergerak—kita jadi inspirasi!

Dulu diragukan, sekarang jadi rujukan 🌏
Dari lokal untuk regional, dari ide jadi solusi nyata.
##IndonesiaMaju #ASEAN #jagaindonesia https://t.co/Qz29KkJ7Qr";2,04934E+18;46141,46345;kimiriarika;in;;0;0;0;0;https://x.com/kimiriarika/status/2049339733919359227;https://pbs.twimg.com/media/HHC3oGWbcAAnahT.jpg;[];0;
381;Indonesia kini bukan lagi pengikut, tapi Trendsetter Gizi di Asia Tenggara! Program Makan Bergizi Gratis (MBG) jadi bukti nyata bahwa manajemen bangsa kita mampu jadi kiblat bagi negara tetangga. Dari Indonesia untuk ASEAN! 🇮🇩✨#jagaindonesia #rakyatbiasaprima #indonesiaprima https://t.co/nV2qQlkEGw;2,04934E+18;46141,46461;asepxnj3;in;;0;0;0;0;https://x.com/asepxnj3/status/2049340155920879928;https://pbs.twimg.com/media/HHC4AGLbUAAEpMt.jpg;[];0;
382;"Program Makan Bergizi Gratis yang dianggap beban negara oleh sekelompok orang, ternyata adalah harapan bagi anak anak Indonesia dan penerima manfaat lainnya.
Melihat besarnya harapan, maka #LanjutkanMBG adalah pilihan terbaik.

Bekasi PPPA Munchen Liga Champions #bayernmünih https://t.co/VERp3FOYZA";2,04934E+18;46141,46564;Aprilia_wiji;in;;0;0;0;0;https://x.com/Aprilia_wiji/status/2049340529666925054;https://pbs.twimg.com/ext_tw_video_thumb/2049340260828737536/pu/img/JlsgH_ujEim8iqPT.jpg;[];0;
383;Manfaat Program Makan Bergizi Gratis itu mampu menekan gangguan belajar akibat rasa lapar, dan siswa dapat lebih fokus untuk menyimak pelajaran https://t.co/WbQpgoSy2b;2,04934E+18;46141,46794;tXtsebarinfo;in;;0;0;0;0;https://x.com/tXtsebarinfo/status/2049341363188302050;https://pbs.twimg.com/media/HHC5HBIaQAA7Rx_.jpg;[];0;
384;"@moyalyubov7 @ctan666 Cukup masjid pas jum'at an atau minggu pagi kasih makan gratis (dr infak donatur). MBG dr negara kan dr pajak. Lebih baik pajak utk membangun infrastructure yg rusak di daerah dan menciptakan iklim ekonomi yg kondusif, shg ortu, bs mmberikan makan bergizi &amp; menyekolahkan anaknya";2,04934E+18;46141,46847;SukaBaca2000;in;;0;0;0;0;https://x.com/SukaBaca2000/status/2049341554465427799;;['moyalyubov7', 'ctan666'];2;moyalyubov7
385;Program Makan Bergizi Gratis sukses besar! jutaan penerima manfaat, lapangan kerja kebuka, ekonomi lokal stonks 📈#ProgramMBG #MakanBergiziGratis #BantenSukses #EkonomiLokalBergerak #GiziTerpenuhi #GenerasiKuat #BantenMajuBersama #AndraSoni #GubernurBanten #IndonesiaEmas2045 https://t.co/IRZ3h2IdIt;2,04934E+18;46141,47686;Fitri4Astiana;in;;0;0;0;0;https://x.com/Fitri4Astiana/status/2049344595465773303;https://pbs.twimg.com/media/HHC76pFaoAAs02q.jpg;[];0;
