token,frekuensi,prob,H_kontribusi
susul,2,0.00023635,0.00284727
olah,2,0.00023635,0.00284727
rangkul,2,0.00023635,0.00284727
antar,2,0.00023635,0.00284727
menkeu,2,0.00023635,0.00284727
orientasi,2,0.00023635,0.00284727
sma,2,0.00023635,0.00284727
populasi,2,0.00023635,0.00284727
sampah,2,0.00023635,0.00284727
buang,2,0.00023635,0.00284727
kalong,2,0.00023635,0.00284727
jabat,2,0.00023635,0.00284727
sukamantri,2,0.00023635,0.00284727
universal,2,0.00023635,0.00284727
stigma,2,0.00023635,0.00284727
cepat,2,0.00023635,0.00284727
batam,2,0.00023635,0.00284727
hapus,2,0.00023635,0.00284727
status,2,0.00023635,0.00284727
pulau,2,0.00023635,0.00284727
tantang,2,0.00023635,0.00284727
muara,2,0.00023635,0.00284727
kam,2,0.00023635,0.00284727
panca,2,0.00023635,0.00284727
kukar,2,0.00023635,0.00284727
resmi,2,0.00023635,0.00284727
zulhas,2,0.00023635,0.00284727
faktor,2,0.00023635,0.00284727
supian,2,0.00023635,0.00284727
kritisi,2,0.00023635,0.00284727
geser,2,0.00023635,0.00284727
ratarata,2,0.00023635,0.00284727
sufmi,2,0.00023635,0.00284727
dasco,2,0.00023635,0.00284727
ayam,2,0.00023635,0.00284727
khusus,2,0.00023635,0.00284727
adil,2,0.00023635,0.00284727
tangan,2,0.00023635,0.00284727
tragis,2,0.00023635,0.00284727
media,2,0.00023635,0.00284727
terobos,2,0.00023635,0.00284727
sebab,2,0.00023635,0.00284727
perdana,2,0.00023635,0.00284727
seram,2,0.00023635,0.00284727
nyelonong,2,0.00023635,0.00284727
kolaborasi,2,0.00023635,0.00284727
benar,2,0.00023635,0.00284727
tuntas,2,0.00023635,0.00284727
celaka,2,0.00023635,0.00284727
rsud,2,0.00023635,0.00284727
cak,2,0.00023635,0.00284727
imin,2,0.00023635,0.00284727
honorer,2,0.00023635,0.00284727
kaos,2,0.00023635,0.00284727
kaki,2,0.00023635,0.00284727
arah,2,0.00023635,0.00284727
viral,2,0.00023635,0.00284727
april,2,0.00023635,0.00284727
komoditas,2,0.00023635,0.00284727
bawang,2,0.00023635,0.00284727
tahan,2,0.00023635,0.00284727
lonjak,2,0.00023635,0.00284727
ancam,2,0.00023635,0.00284727
jarang,2,0.00023635,0.00284727
muncul,2,0.00023635,0.00284727
pasal,2,0.00023635,0.00284727
nasionalisme,2,0.00023635,0.00284727
transformasi,2,0.00023635,0.00284727
budidaya,2,0.00023635,0.00284727
lele,2,0.00023635,0.00284727
blora,2,0.00023635,0.00284727
komunitas,2,0.00023635,0.00284727
mainmain,2,0.00023635,0.00284727
personel,2,0.00023635,0.00284727
bahagia,2,0.00023635,0.00284727
sampang,2,0.00023635,0.00284727
investigasi,2,0.00023635,0.00284727
suplai,2,0.00023635,0.00284727
jabodetabek,2,0.00023635,0.00284727
gandi,2,0.00023635,0.00284727
fanani,2,0.00023635,0.00284727
jual,2,0.00023635,0.00284727
tabalong,2,0.00023635,0.00284727
daniel,2,0.00023635,0.00284727
masak,2,0.00023635,0.00284727
nyentuh,2,0.00023635,0.00284727
iskandar,2,0.00023635,0.00284727
akal,2,0.00023635,0.00284727
sekarang,2,0.00023635,0.00284727
realitanya,2,0.00023635,0.00284727
digital,2,0.00023635,0.00284727
duka,2,0.00023635,0.00284727
mab,2,0.00023635,0.00284727
china,2,0.00023635,0.00284727
picu,2,0.00023635,0.00284727
timpang,2,0.00023635,0.00284727
judul,2,0.00023635,0.00284727
jam,2,0.00023635,0.00284727
penting,2,0.00023635,0.00284727
tegal,2,0.00023635,0.00284727
donatur,2,0.00023635,0.00284727
an,2,0.00023635,0.00284727
bapak,2,0.00023635,0.00284727
senang,2,0.00023635,0.00284727
negaranegara,2,0.00023635,0.00284727
pesisir,2,0.00023635,0.00284727
danau,2,0.00023635,0.00284727
sentani,2,0.00023635,0.00284727
berangkat,2,0.00023635,0.00284727
