No,full_text,username,tweet_tokens_stemmed,n_token,n_token_unik,entropy_bit,entropy_max,entropy_norm
242,wakil presiden gibran rakabuming raka menyambangi rsud cilincing dan rsud koja jakarta utara kamis sore kedatangannya dilakukan untuk menjenguk para pelajar sdn kalibaru yang menjadi korban tabrakan mobil pengangkut program makan bergizi gratis mbg,SINDOnews,"['wakil', 'presiden', 'gibran', 'rakabuming', 'raka', 'sambang', 'rsud', 'cilincing', 'rsud', 'koja', 'jakarta', 'utara', 'kamis', 'sore', 'datang', 'jenguk', 'ajar', 'sdn', 'kalibaru', 'korban', 'tabrak', 'mobil', 'angkut', 'program', 'makan', 'gizi', 'gratis', 'mbg']",28,27,4.735926350590079,4.754887502163468,0.996012
243,kemendikdasmen dorong penguatan implementasi program makan bergizi gratis,MyInfoID,"['kemendikdasmen', 'dorong', 'kuat', 'implementasi', 'program', 'makan', 'gizi', 'gratis']",8,8,2.9999999999884586,3.0,1.0
244,menginjak setahun implementasi program mbg sudah semestinya evaluasi total dilakukan untuk mengukur capaian secara objektif celios mengundang seluruh masyarakat untuk hadir dalam peluncuran studi mengenai evaluasi tahun program makan bergizi gratis dengan beberapa temuan,barengwarga,"['injak', 'tahun', 'implementasi', 'program', 'mbg', 'mesti', 'evaluasi', 'total', 'ukur', 'capai', 'objektif', 'celios', 'undang', 'masyarakat', 'hadir', 'luncur', 'studi', 'evaluasi', 'program', 'makan', 'gizi', 'gratis', 'temu']",23,21,4.349648912548455,4.392317422778761,0.990286
245,menko pm cak imin merespons insiden mobil sppg pengangkut makanan program makan bergizi gratis mbg yang menabrak siswa dan guru di lingkungan sdn kalibaru,tvOneNews,"['menko', 'pm', 'cak', 'imin', 'respons', 'insiden', 'mobil', 'sppg', 'angkut', 'makan', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'tabrak', 'siswa', 'guru', 'lingkung', 'sdn', 'kalibaru']",21,20,4.297079327511811,4.321928094887363,0.994251
246,presiden prabowo perluas manfaat program makan bergizi gratis guru swasta hingga honorer kini termasuk penerima,klikaktual,"['presiden', 'prabowo', 'luas', 'manfaat', 'program', 'makan', 'gizi', 'gratis', 'guru', 'swasta', 'honorer', 'terima']",12,12,3.584962500703843,3.584962500721156,1.0
247,kirain dulu mbg ini program peningkatan gizi masyarakat ternyata peningkatan lifestyle bgn lahir dari janji kampanye mulia anakanak indonesia harus makan bergizi stunting harus turun generasi emas bgn dibentuk khusus untuk program makan bergizi gratis yang dijanjikan,13_iwaN,"['kirain', 'mbg', 'program', 'tingkat', 'gizi', 'masyarakat', 'tingkat', 'lifestyle', 'bgn', 'lahir', 'janji', 'kampanye', 'mulia', 'anakanak', 'indonesia', 'makan', 'gizi', 'stunting', 'turun', 'generasi', 'emas', 'bgn', 'bentuk', 'khusus', 'program', 'makan', 'gizi', 'gratis', 'janji']",29,22,4.349191770883299,4.459431618637297,0.975279
248,rp triliun buat program makan bergizi gratis katanya demi anakanak biar gak kekurangan gizi tapi yang dibelanjain kaos kaki semir sepatu barangbarang random ini program gizi atau proyek gragas di lapangan masih banyak anak sekolah pakai kaos kaki bolong diikat,bangherwin,"['rp', 'triliun', 'program', 'makan', 'gizi', 'gratis', 'anakanak', 'kurang', 'gizi', 'dibelanjain', 'kaos', 'kaki', 'semir', 'sepatu', 'barangbarang', 'random', 'program', 'gizi', 'proyek', 'gragas', 'lapang', 'anak', 'sekolah', 'pakai', 'kaos', 'kaki', 'bolong', 'ikat']",28,23,4.423251796947154,4.523561956057013,0.977825
249,arah kebijakan program makan bergizi gratis mbg kini mengalami pergeseran signifikan presiden prabowo subianto meminta agar program unggulan tersebut tidak lagi diberikan secara universal melainkan difokuskan secara spesifik kepada anakanak yang mengalami kekurangan gizi dan,NalarTumpul,"['arah', 'bijak', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'alami', 'geser', 'signifikan', 'presiden', 'prabowo', 'subianto', 'program', 'unggul', 'universal', 'fokus', 'spesifik', 'anakanak', 'alami', 'kurang', 'gizi']",22,19,4.186704345882614,4.247927513443585,0.985588
250,pemerintah menyiapkan unit rumah subsidi bagi karyawan program makan bergizi gratis mbg melalui skema fasilitas likuiditas pembiayaan perumahan flpp dengan uang muka mulai sekitar rp juta kebijakan ini untuk meningkatkan kesejahteraan karyawan sekaligus mendukung,99propaganda,"['perintah', 'unit', 'rumah', 'subsidi', 'karyawan', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'skema', 'fasilitas', 'likuiditas', 'biaya', 'rumah', 'flpp', 'uang', 'muka', 'rp', 'juta', 'bijak', 'tingkat', 'sejahtera', 'karyawan', 'dukung']",25,23,4.483856189741543,4.523561956057013,0.991222
251,seorang kreator viral menyoroti dampak program makan bergizi gratis mbg melalui drama tentang warung sekolah yang kehilangan pelanggan sejumlah umkm mengaku omzet menurun sejak program berjalan selain itu distribusi bahan pokok makin terpusat ke pemasok besar harga di,sosmedkeras,"['kreator', 'viral', 'sorot', 'dampak', 'program', 'makan', 'gizi', 'gratis', 'mbg', 'drama', 'warung', 'sekolah', 'hilang', 'langgan', 'umkm', 'aku', 'omzet', 'turun', 'program', 'jalan', 'distribusi', 'bahan', 'pokok', 'pusat', 'pasok', 'harga']",26,25,4.623516641181949,4.643856189774724,0.99562
252,kepala bgn menyebut ratarata iq indonesia dan menargetkan peningkatan lewat program makan bergizi gratis program ini fokus pada hari pertama dan usia sekolah untuk mencegah stunting serta mendukung tumbuh kembang baca selengkapnya rk,kompascom,"['kepala', 'bgn', 'sebut', 'ratarata', 'iq', 'indonesia', 'target', 'tingkat', 'program', 'makan', 'gizi', 'gratis', 'program', 'fokus', 'usia', 'sekolah', 'cegah', 'stunting', 'dukung', 'tumbuh', 'kembang', 'baca', 'lengkap', 'rk']",24,23,4.50162916735464,4.523561956057013,0.995151
